0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
15298,6 colors:,White,130 Yellow,485 Red,376 Green,2395 Purple,Black,Trial order to test reduction of colors in existing design from 7 to 6.,Originally this art had 259 dark purple,,,,,
15268,2 colors:,White,Reflex Blue,,,,,,,,,,,
15074,4 colors:,White,185 Red,Reflex Blue,Black,,,,,,,,,
15248,5 colors:,White,187 Red,288 Blue,274 Purple (solid),274 Purple (halftone),,,,,,,,
15304,6 colors:,White,1215 Yellow,485 Red,349 Green,293 Blue,1405 Brown,,,,,,,
15305,4 colors:,White,187 Red,Black Halftone,Black Solid,,,,,,,,,
15306,4 colors:,White,1575 Brown,Black Halftone,Black Solid,,,,,,,,,
15307,4 colors:,White,2602 Purple,Black Halftone,Black Solid,,,,,,,,,
15308,4 colors:,White,1595 Red,Black Halftone,Black Solid,,,,,,,,,
15262,3 colors:,White,281 Blue,356 Green,,,,,,,,,,
14764,3 colors:,White,199 Red,Black,,,,,,,,,,
15249,6 colors:,White,Yellow 115,Teal 339,Green 368,Red 206,Black,,,,,,,
15175,3 colors:,White,208 Red,Black,,,,,,,,,,
15278,2 colors:,White,Black,,,,,,,,,,,
15161,5 colors:,White,187 Red,288 Blue,274 Blue (halftone),274 Blue (solid),,,,,,,,
4 colors:,White,368 Green,Black,151 Orange,,,,,,,,,,
4 colors:,White,368 Green,Black,2925 Blue,,,,,,,,,,
4 colors:,White,368 Green,Black,368 Green,,,,,,,,,,
15121,4 colors:,White,368 Green,Black,185 Red,,,,,,,,,
15222,6 colors:,White,368 Green,Process Magenta,877 Metallic Silver,Black,Pantone Yellow,,,,,,,
15147,4 colors:,White,368 Green,Black,368 Green,,,,,,,,,
15289,5 colors:,White,123 Yellow,1665 Red,370 Green,Black,,,,,,,,
15056,3 colors:,White,368 Green,185 Red,,,,,,,,,,
14757,2 colors:,White,Reflex Blue,,,,,,,,,,,
15061,3 colors:,White,281 Blue,356 Green,,,,,,,,,,
15060,3 colors:,White,281 Blue,356 Green,,,,,,,,,,
15108,3 colors:,White,2592 Purple,2768 Blue,,,,,,,,,,
15226,6 colors:,White,252 Purple,258 Purple,Pantone Purple,390 Green,Black,,,,,,,
15266,3 colors:,White,281 Blue,356 Green,,,,,,,,,,
15309,6 colors:,White,187 Red,286 Blue,364 Green,7516 Red,Black,,,,,,,
15268,2 colors:,White,Reflex Blue,,,,,,,,,,,
15289,5 colors:,White,123 Yellow,1665 Red,370 Green,Black,,,,,,,,
15248,5 colors:,White,187 Red,288 Blue,274 Purple (solid),274 Purple (halftone),,,,,,,,
15010,3 colors:,White,368 Green,Black,,,,,,,,,,
15310,3 colors:,White,7693 Blue,348 Green,,,,,,,,,,
15213,6 colors:,White,130 Yellow,1805 Red,362 Green,072 Blue,Black,,,,,,,
14757,2 colors:,White,Reflex Blue,,,,,,,,,,,
15312,6 colors:,White,Process Cyan,Process Magenta,Process Yellow,Black (combo),1788 Red,,,,,,,
15290,5 colors:,White,187 Red,288 Blue,274 Purple (solid),274 Purple (halftone),,,,,,,,
15010,3 colors:,White,368 Green,Black,,,,,,,,,,
15175,3 colors:,White,208 Red,Black,,,,,,,,,,
15249,6 colors:,White,Yellow 115,Teal 339,Green 368,Red 206,Black,,,,,,,
15278,2 colors:,White,Black,,,,,,,,,,,
15055,4 colors:,White,376 Green,382 Green,Black,,,,,,,,,
15289,5 colors:,White,123 Yellow,1665 Red,370 Green,Black,,,,,,,,
15161,5 colors:,White,187 Red,288 Blue,274 Blue (halftone),274 Blue (solid),,,,,,,,
3 colors:,White,281 Blue,356 Green,,,,,,,,,,,
15107,3 colors:,White,281 Blue,356 Green,,,,,,,,,,
15108,3 colors:,White,2592 Purple,2768 Blue,,,,,,,,,,
15019,3 colors:,White,Reflex Blue,199 Red,,,,,,,,,,
15313,6 colors:,White,Process Cyan,Process Magenta,Process Yellow,Black (combo),1788 Red,,,,,,,
15314,2 colors:,White,Black,,,,,,,,,,,
15314,2 colors:,White,Black,,,,,,,,,,,
